X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-0.42057,42.781181,0,0,92,1961.174,2013/08/25 07:16:54+00,,,,,,,,,,,,,,,,,,,,,
-0.421517,42.781097,0,0,93,1973.241,2013/08/25 07:19:19+00,,,,,,,,,,,,,,,,,,,,,
-0.422758,42.781219,0,0,94,1984.846,2013/08/25 07:21:58+00,,,,,,,,,,,,,,,,,,,,,
-0.424096,42.781075,0,0,95,1991.264,2013/08/25 07:24:40+00,,,,,,,,,,,,,,,,,,,,,
-0.425645,42.781242,0,0,96,2007.683,2013/08/25 07:28:37+00,,,,,,,,,,,,,,,,,,,,,
-0.42704,42.780998,0,0,97,2018.825,2013/08/25 07:30:42+00,,,,,,,,,,,,,,,,,,,,,
-0.427853,42.780544,0,0,98,2031.417,2013/08/25 07:32:24+00,,,,,,,,,,,,,,,,,,,,,
-0.428488,42.78054,0,0,99,2043.108,2013/08/25 07:33:41+00,,,,,,,,,,,,,,,,,,,,,
-0.429134,42.780113,0,0,100,2058.499,2013/08/25 07:35:29+00,,,,,,,,,,,,,,,,,,,,,
-0.429983,42.7799,0,0,101,2069.271,2013/08/25 07:37:02+00,,,,,,,,,,,,,,,,,,,,,
-0.430808,42.779972,0,0,102,2078.046,2013/08/25 07:38:39+00,,,,,,,,,,,,,,,,,,,,,
-0.431331,42.780174,0,0,103,2090.089,2013/08/25 07:40:28+00,,,,,,,,,,,,,,,,,,,,,
-0.43173,42.779812,0,0,104,2100.031,2013/08/25 07:44:22+00,,,,,,,,,,,,,,,,,,,,,
-0.431904,42.77919,0,0,105,2101.198,2013/08/25 07:45:39+00,,,,,,,,,,,,,,,,,,,,,
-0.432349,42.778603,0,0,106,2105.183,2013/08/25 07:46:53+00,,,,,,,,,,,,,,,,,,,,,
-0.432424,42.778088,0,0,107,2110.741,2013/08/25 07:47:55+00,,,,,,,,,,,,,,,,,,,,,
-0.432629,42.777866,0,0,108,2109.897,2013/08/25 07:48:47+00,,,,,,,,,,,,,,,,,,,,,
-0.434699,42.777412,0,0,109,2150.023,2013/08/25 07:53:25+00,,,,,,,,,,,,,,,,,,,,,
-0.434818,42.777195,0,0,110,2146.025,2013/08/25 07:54:20+00,,,,,,,,,,,,,,,,,,,,,
-0.435303,42.777126,0,0,111,2162.908,2013/08/25 07:55:20+00,,,,,,,,,,,,,,,,,,,,,
-0.43631,42.776474,0,0,112,2168.71,2013/08/25 07:57:29+00,,,,,,,,,,,,,,,,,,,,,
-0.437335,42.776192,0,0,113,2172.832,2013/08/25 07:58:56+00,,,,,,,,,,,,,,,,,,,,,
-0.437636,42.775974,0,0,114,2174.097,2013/08/25 07:59:32+00,,,,,,,,,,,,,,,,,,,,,
-0.438383,42.775959,0,0,115,2187.18,2013/08/25 08:01:01+00,,,,,,,,,,,,,,,,,,,,,
-0.438997,42.776146,0,0,116,2202.732,2013/08/25 08:02:33+00,,,,,,,,,,,,,,,,,,,,,
-0.439646,42.776066,0,0,117,2202.749,2013/08/25 08:03:30+00,,,,,,,,,,,,,,,,,,,,,
-0.440414,42.775681,0,0,118,2212.244,2013/08/25 08:05:06+00,,,,,,,,,,,,,,,,,,,,,
-0.441189,42.775684,0,0,119,2226.282,2013/08/25 08:06:51+00,,,,,,,,,,,,,,,,,,,,,
-0.441846,42.776176,0,0,120,2234.029,2013/08/25 08:08:50+00,,,,,,,,,,,,,,,,,,,,,
-0.442965,42.776604,0,0,121,2232.6,2013/08/25 08:11:17+00,,,,,,,,,,,,,,,,,,,,,
-0.443197,42.775967,0,0,122,2236.02,2013/08/25 08:16:26+00,,,,,,,,,,,,,,,,,,,,,
-0.443752,42.77663,0,0,123,2229.908,2013/08/25 08:17:50+00,,,,,,,,,,,,,,,,,,,,,
-0.444046,42.776726,0,0,124,2230.183,2013/08/25 08:18:18+00,,,,,,,,,,,,,,,,,,,,,
